,char,dialog,movie,birth,death,gender,race
0,DEAGOL,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!",The Return of the King ,,,Other,Hobbits
1,SMEAGOL,"Pull it in! Go on, go on, go on, pull it in!",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
2,DEAGOL,Arrghh!,The Return of the King ,,,Other,Hobbits
3,SMEAGOL,Deagol!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
4,SMEAGOL,Deagol!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
5,SMEAGOL,Deagol!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
6,SMEAGOL,Give us that! Deagol my love,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
7,DEAGOL,Why?,The Return of the King ,,,Other,Hobbits
8,SMEAGOL,"Because' , it's my birthday and I wants it.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
9,SMEAGOL,My precious.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
10,SMEAGOL,They cursed us,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
11,GOLLUM,Murderer),The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
12,SMEAGOL,'Murderer' they called us. They cursed us and drove us away.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
13,SMEAGOL,"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
14,SMEAGOL,"and cool, so nice for feet' and we only wish to catch a fish , so juicy sweet.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
15,SMEAGOL,"And we forgot the taste of bread, the sound of trees and the softness of the wind. We even forgot our own name.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
16,FRODO,Gandalf?,The Return of the King ,,,Other,Hobbits
17,FRODO,Oooohhh!,The Return of the King ,,,Other,Hobbits
18,MERRY,Frodo!,The Return of the King ,,,Other,Hobbits
19,GIMLI,Aaaahh!,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
20,FRODO,Gimli!,The Return of the King ,,,Other,Hobbits
21,GOLLUM,My precious!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
22,GOLLUM,"Wake up! , Wake up! ,Wake up sleepies! We must go, yes, we must go at once.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
23,SAM,Haven't you had any sleep Mr Frodo?,The Return of the King ,,,Other,Hobbits
24,SAM,"And I've gone and had too much. , It must be getting late.",The Return of the King ,,,Other,Hobbits
25,FRODO,"No, it isn't. It isn't midday yet. , The days are growing darker.",The Return of the King ,,,Other,Hobbits
26,GOLLUM,Come on! Must go! No time!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
27,SAM,Not before Mr Frodo's had something to eat.,The Return of the King ,,,Other,Hobbits
28,GOLLUM,No time to lose silly!,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
29,SAM,Here.,The Return of the King ,,,Other,Hobbits
30,FRODO,What about you?,The Return of the King ,,,Other,Hobbits
31,SAM,"Oh no, I'm not hungry, leastways not for lembas bread.",The Return of the King ,,,Other,Hobbits
32,FRODO,Sam!,The Return of the King ,,,Other,Hobbits
33,FRODO,Aragorn!,The Return of the King ,,,Other,Hobbits
34,GANDALF,Now come the days of the King. May they be blessed.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
35,ARAGORN,"This day does not belong to one man, but to all. Let us together rebuild this world, that we may share in the days of peace.",The Return of the King ,,,Other,Men
36,ARAGORN,Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!,The Return of the King ,,,Other,Men
37,ARAGORN,Hannon le.,The Return of the King ,,,Other,Men
38,ARAGORN,"My friends, , you bow to no-one.",The Return of the King ,,,Other,Men
39,FRODO,",And thus it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring, though eternally bound by friendship and love was ended. Thirteen months to the day since Gandalf sent us on our long journey we find ourselves looking upon a familiar sight.",The Return of the King ,,,Other,Hobbits
40,FRODO,We were home.,The Return of the King ,,,Other,Hobbits
41,PIPPIN,Alright!,The Return of the King ,,,Other,Hobbits
42,HOBBIT,Hey watch the pumpkin.,The Return of the King ,,,Other,Hobbits
43,ROSIE,Goodnight lads.,The Return of the King ,,,Other,Hobbits
44,SAM,"Oh alright, but we don't have that much left. We have to be careful or we are going to run out. You go ahead and eat that Mr Frodo. I've rationed it, there should be enough.",The Return of the King ,,,Other,Hobbits
45,FRODO,For what?,The Return of the King ,,,Other,Hobbits
46,SAM,The journey home.,The Return of the King ,,,Other,Hobbits
47,GOLLUM,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
48,MERRY,"It's good. Definitely from the Shire. ,Longbottom leaf eh?",The Return of the King ,,,Other,Hobbits
49,PIPPIN,"uhh huh , I feel like I'm back at the Green Dragon.",The Return of the King ,,,Other,Hobbits
50,MERRY,"Mmmm , Green Dragon!",The Return of the King ,,,Other,Hobbits
51,PIPPIN,A mug of ale in my hand. Putting my feet up on a settle after a hard day's work.,The Return of the King ,,,Other,Hobbits
52,MERRY,"Only, , you've never done a hard day's work.",The Return of the King ,,,Other,Hobbits
53,PIPPIN,Ahaha!,The Return of the King ,,,Other,Hobbits
54,MERRY,"Welcome, my lords to Isengard!",The Return of the King ,,,Other,Hobbits
55,GIMLI,You young rascals. A merry hunt you've led us on and now we find you feasting and ' and smoking!,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
56,PIPPIN,Hmm?,The Return of the King ,,,Other,Hobbits
57,FRODO,"How do you pick up the threads of an old life? How do you go on, when in your heart you begin to understand there is no going back? There are some things that time cannot mend. Some hurts that go too deep, that have taken hold.",The Return of the King ,,,Other,Hobbits
58,SAM,Mr Frodo? What is it?,The Return of the King ,,,Other,Hobbits
59,FRODO,It's been four years to the day since Weathertop Sam. It's never really healed.,The Return of the King ,,,Other,Hobbits
60,SAM,", There and Back Again, a Hobbits tale by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished it.",The Return of the King ,,,Other,Hobbits
